Percentage Data,Member Accuracy,Non-member Accuracy,Attack Accuracy,Attack Model
10,0.9794238683127572,0.2304526748971193,0.6049382716049383,GB
20,0.9465020576131687,0.3374485596707819,0.6419753086419753,GB
30,0.9074074074074074,0.4732510288065843,0.6903292181069959,GB
40,0.8703703703703703,0.5493827160493827,0.7098765432098766,GB
50,0.8333333333333334,0.5740740740740741,0.7037037037037037,GB
60,0.7962962962962963,0.6213991769547325,0.7088477366255144,GB
70,0.7757201646090535,0.631687242798354,0.7037037037037037,GB
80,0.7592592592592593,0.654320987654321,0.7067901234567902,GB
90,0.7181069958847737,0.6728395061728395,0.6954732510288066,GB
100,0.6234567901234568,0.7530864197530864,0.6882716049382716,RF
